,file_id,cpt,category,hotel_id
291_0,291,0,pool,226
292_0,292,0,renovation_room,226
293_0,293,0,room,226
293_1,293,1,room,226
294_0,294,0,facility,9
294_1,294,1,facility,9
295_0,295,0,reception,9
295_1,295,1,reception,9
295_2,295,2,reception,9
297_0,297,0,restaurant,9
297_1,297,1,restaurant,9
298_0,298,0,facility,37
299_0,299,0,reception,37
299_1,299,1,reception,37
299_2,299,2,reception,37
300_0,300,0,restaurant,37
300_1,300,1,restaurant,37
301_0,301,0,room,37
302_0,302,0,reception,211
304_0,304,0,restaurant,211
305_0,305,0,room,211
306_0,306,0,facility,26
307_0,307,0,pool,26
308_0,308,0,restaurant,26
308_1,308,1,restaurant,26
309_0,309,0,room,26
310_0,310,0,facility,242
311_0,311,0,reception,242
313_0,313,0,room,242
314_0,314,0,reception,185
314_1,314,1,reception,185
314_2,314,2,reception,185
315_0,315,0,pool,185
316_0,316,0,restaurant,185
317_0,317,0,room,185
318_0,318,0,reception,224
319_0,319,0,renovation_room,224
320_0,320,0,restaurant,224
320_1,320,1,restaurant,224
320_2,320,2,restaurant,224
321_0,321,0,room,224
321_1,321,1,room,224
322_0,322,0,reception,367
323_0,323,0,pool,367
323_1,323,1,pool,367
324_0,324,0,restaurant,367
324_1,324,1,restaurant,367
325_0,325,0,room,367
325_1,325,1,room,367
325_2,325,2,room,367
326_0,326,0,facility,145
327_0,327,0,reception,145
328_0,328,0,restaurant,145
329_0,329,0,room,145
330_0,330,0,room,291
330_1,330,1,room,291
330_2,330,2,room,291
331_0,331,0,reception,391
332_0,332,0,renovation_room,453
333_0,333,0,reception,478
333_1,333,1,reception,478
334_0,334,0,pool,273
335_0,335,0,room,71
336_0,336,0,facility,416
337_0,337,0,pool,6
338_0,338,0,facility,95
339_0,339,0,facility,337
339_1,339,1,facility,337
340_0,340,0,reception,20
342_0,342,0,facility,441
343_0,343,0,facility,326
344_0,344,0,room,424
344_1,344,1,room,424
344_2,344,2,room,424
345_0,345,0,reception,162
346_0,346,0,renovation_room,321
347_0,347,0,pool,158
348_0,348,0,room,230
351_0,351,0,facility,194
352_0,352,0,facility,289
354_0,354,0,facility,179
356_0,356,0,renovation_room,412
357_0,357,0,room,309
358_0,358,0,room,203
358_1,358,1,room,203
359_0,359,0,restaurant,444
360_0,360,0,facility,486
361_0,361,0,reception,486
361_1,361,1,reception,486
362_0,362,0,pool,486
363_0,363,0,renovation_room,486
364_0,364,0,restaurant,486
364_1,364,1,restaurant,486
365_0,365,0,room,486
365_1,365,1,room,486
365_2,365,2,room,486
365_3,365,3,room,486
366_0,366,0,facility,399
367_0,367,0,reception,399
367_1,367,1,reception,399
367_2,367,2,reception,399
369_0,369,0,renovation_room,399
370_0,370,0,restaurant,399
370_1,370,1,restaurant,399
371_0,371,0,room,399
371_1,371,1,room,399
371_2,371,2,room,399
372_0,372,0,facility,221
373_0,373,0,reception,221
375_0,375,0,renovation_room,221
376_0,376,0,restaurant,221
377_0,377,0,room,221
377_1,377,1,room,221
378_0,378,0,facility,122
379_0,379,0,reception,122
379_1,379,1,reception,122
381_0,381,0,renovation_room,122
382_0,382,0,restaurant,122
382_1,382,1,restaurant,122
383_0,383,0,room,122
383_1,383,1,room,122
384_0,384,0,facility,409
385_0,385,0,reception,409
386_0,386,0,pool,409
387_0,387,0,renovation_room,409
388_0,388,0,restaurant,409
389_0,389,0,room,409
390_0,390,0,facility,386
390_1,390,1,facility,386
391_0,391,0,reception,386
392_0,392,0,pool,386
393_0,393,0,renovation_room,386
393_1,393,1,renovation_room,386
394_0,394,0,restaurant,386
394_1,394,1,restaurant,386
395_0,395,0,room,386
395_1,395,1,room,386
396_0,396,0,facility,288
396_1,396,1,facility,288
397_0,397,0,reception,288
397_1,397,1,reception,288
398_0,398,0,pool,288
399_0,399,0,renovation_room,288
400_0,400,0,restaurant,288
400_1,400,1,restaurant,288
401_0,401,0,room,288
403_0,403,0,reception,139
404_0,404,0,pool,139
406_0,406,0,restaurant,139
407_0,407,0,room,139
408_0,408,0,facility,64
409_0,409,0,reception,64
409_1,409,1,reception,64
409_2,409,2,reception,64
410_0,410,0,pool,64
411_0,411,0,renovation_room,64
411_1,411,1,renovation_room,64
412_0,412,0,restaurant,64
412_1,412,1,restaurant,64
412_2,412,2,restaurant,64
413_0,413,0,room,64
413_1,413,1,room,64
414_0,414,0,facility,389
415_0,415,0,reception,389
415_1,415,1,reception,389
415_2,415,2,reception,389
415_3,415,3,reception,389
416_0,416,0,pool,389
416_1,416,1,pool,389
417_0,417,0,renovation_room,389
418_0,418,0,restaurant,389
418_1,418,1,restaurant,389
419_0,419,0,room,389
419_1,419,1,room,389
