,c,b,a,Total,fileId,iId
0_0,1,0,1,2,0,0
1_0,2,0,0,2,1,0
2_0,1,0,1,2,2,0
3_0,1,0,1,2,3,0
3_1,1,0,1,2,3,1
3_2,2,0,0,2,3,2
3_3,2,0,0,2,3,3
3_4,2,0,0,2,3,4
4_0,1,0,1,2,4,0
4_1,2,0,0,2,4,1
4_2,1,1,0,2,4,2
5_0,0,0,2,2,5,0
6_0,1,1,0,2,6,0
6_1,1,1,0,2,6,1
7_0,0,0,2,2,7,0
8_0,1,0,1,2,8,0
8_1,2,0,0,2,8,1
8_2,0,2,0,2,8,2
9_0,1,0,1,2,9,0
10_0,1,1,0,2,10,0
11_0,0,2,0,2,11,0
13_0,0,2,0,2,13,0
14_0,1,1,0,2,14,0
14_1,1,0,1,2,14,1
15_0,0,0,2,2,15,0
16_0,0,0,2,2,16,0
17_0,0,0,2,2,17,0
18_0,0,0,2,2,18,0
19_0,0,0,2,2,19,0
20_0,2,0,0,2,20,0
20_1,2,0,0,2,20,1
21_0,1,0,1,2,21,0
22_0,0,2,0,2,22,0
23_0,2,0,0,2,23,0
23_1,1,0,1,2,23,1
24_0,0,2,0,2,24,0
25_0,0,0,2,2,25,0
26_0,1,0,1,2,26,0
27_0,0,2,0,2,27,0
27_1,2,0,0,2,27,1
28_0,0,0,2,2,28,0
29_0,1,0,1,2,29,0
30_0,0,2,0,2,30,0
30_1,2,0,0,2,30,1
31_0,0,1,1,2,31,0
31_1,2,0,0,2,31,1
31_2,1,1,0,2,31,2
32_0,0,0,2,2,32,0
33_0,2,0,0,2,33,0
33_1,1,0,1,2,33,1
33_2,0,2,0,2,33,2
34_0,2,0,0,2,34,0
34_1,1,1,0,2,34,1
34_2,0,0,2,2,34,2
34_3,1,0,1,2,34,3
35_0,1,0,1,2,35,0
36_0,0,0,2,2,36,0
37_0,0,0,2,2,37,0
38_0,1,0,1,2,38,0
39_0,0,0,2,2,39,0
40_0,0,0,2,2,40,0
40_1,2,0,0,2,40,1
41_0,0,0,2,2,41,0
42_0,0,0,2,2,42,0
43_0,0,2,0,2,43,0
44_0,0,0,2,2,44,0
44_1,0,0,2,2,44,1
45_0,0,1,1,2,45,0
45_1,1,1,0,2,45,1
45_2,0,0,2,2,45,2
46_0,2,0,0,2,46,0
46_1,0,0,2,2,46,1
46_2,0,2,0,2,46,2
47_0,0,0,2,2,47,0
48_0,1,1,0,2,48,0
49_0,2,0,0,2,49,0
49_1,2,0,0,2,49,1
49_2,1,0,1,2,49,2
49_3,1,1,0,2,49,3
50_0,1,1,0,2,50,0
51_0,2,0,0,2,51,0
51_1,2,0,0,2,51,1
51_2,2,0,0,2,51,2
52_0,2,0,0,2,52,0
52_1,2,0,0,2,52,1
54_0,1,0,1,2,54,0
55_0,0,2,0,2,55,0
56_0,0,2,0,2,56,0
57_0,0,0,2,2,57,0
58_0,2,0,0,2,58,0
58_1,1,1,0,2,58,1
59_0,2,0,0,2,59,0
59_1,0,2,0,2,59,1
60_0,0,2,0,2,60,0
61_0,0,0,2,2,61,0
62_0,0,0,2,2,62,0
63_0,0,2,0,2,63,0
64_0,0,2,0,2,64,0
64_1,2,0,0,2,64,1
65_0,0,0,2,2,65,0
66_0,1,0,1,2,66,0
66_1,2,0,0,2,66,1
66_2,2,0,0,2,66,2
67_0,1,0,1,2,67,0
68_0,1,0,1,2,68,0
68_1,1,0,1,2,68,1
69_0,0,0,2,2,69,0
69_1,2,0,0,2,69,1
70_0,0,0,2,2,70,0
71_0,2,0,0,2,71,0
71_1,0,2,0,2,71,1
72_0,0,0,2,2,72,0
73_0,0,2,0,2,73,0
73_1,2,0,0,2,73,1
74_0,2,0,0,2,74,0
74_1,1,1,0,2,74,1
75_0,1,0,1,2,75,0
75_1,1,0,1,2,75,1
76_0,0,0,2,2,76,0
76_1,2,0,0,2,76,1
76_2,2,0,0,2,76,2
77_0,0,0,2,2,77,0
78_0,2,0,0,2,78,0
78_1,0,2,0,2,78,1
79_0,0,2,0,2,79,0
80_0,0,0,2,2,80,0
80_1,2,0,0,2,80,1
81_0,1,0,1,2,81,0
82_0,0,0,2,2,82,0
83_0,1,0,1,2,83,0
84_0,0,0,2,2,84,0
85_0,0,0,2,2,85,0
86_0,0,0,2,2,86,0
87_0,1,0,1,2,87,0
87_1,2,0,0,2,87,1
88_0,2,0,0,2,88,0
88_1,0,2,0,2,88,1
89_0,0,0,2,2,89,0
90_0,1,1,0,2,90,0
90_1,1,0,1,2,90,1
91_0,0,0,2,2,91,0
92_0,0,0,2,2,92,0
93_0,0,0,2,2,93,0
94_0,0,2,0,2,94,0
94_1,1,0,1,2,94,1
94_2,0,0,2,2,94,2
95_0,0,2,0,2,95,0
96_0,0,2,0,2,96,0
97_0,0,0,2,2,97,0
98_0,0,2,0,2,98,0
99_0,0,2,0,2,99,0
99_1,1,1,0,2,99,1
100_0,0,0,2,2,100,0
101_0,0,0,2,2,101,0
102_0,0,0,2,2,102,0
103_0,0,0,2,2,103,0
104_0,0,0,2,2,104,0
105_0,0,0,2,2,105,0
107_0,2,0,0,2,107,0
107_1,0,0,2,2,107,1
108_0,0,0,2,2,108,0
108_1,0,1,1,2,108,1
109_0,0,2,0,2,109,0
110_0,0,0,2,2,110,0
110_1,0,0,2,2,110,1
111_0,0,2,0,2,111,0
113_0,0,2,0,2,113,0
114_0,0,0,2,2,114,0
115_0,0,0,2,2,115,0
116_0,0,0,2,2,116,0
117_0,0,0,2,2,117,0
117_1,0,0,2,2,117,1
118_0,2,0,0,2,118,0
118_1,1,1,0,2,118,1
119_0,0,0,2,2,119,0
120_0,0,0,2,2,120,0
121_0,0,2,0,2,121,0
122_0,0,2,0,2,122,0
123_0,0,2,0,2,123,0
124_0,0,2,0,2,124,0
125_0,0,2,0,2,125,0
126_0,1,1,0,2,126,0
126_1,1,1,0,2,126,1
126_2,0,2,0,2,126,2
127_0,0,2,0,2,127,0
128_0,0,2,0,2,128,0
129_0,0,2,0,2,129,0
