,c,b,a,Total,fileId,iId
129_1,0,2,0,2,129,1
130_0,0,0,2,2,130,0
131_0,0,2,0,2,131,0
132_0,0,2,0,2,132,0
133_0,0,2,0,2,133,0
134_0,0,2,0,2,134,0
135_0,0,2,0,2,135,0
136_0,1,1,0,2,136,0
136_1,0,2,0,2,136,1
137_0,0,0,2,2,137,0
138_0,1,0,1,2,138,0
138_1,1,0,1,2,138,1
139_0,0,2,0,2,139,0
140_0,0,2,0,2,140,0
141_0,0,2,0,2,141,0
141_1,0,2,0,2,141,1
142_0,0,2,0,2,142,0
144_0,0,0,2,2,144,0
145_0,0,2,0,2,145,0
147_0,0,0,2,2,147,0
148_0,0,0,2,2,148,0
149_0,0,0,2,2,149,0
150_0,0,0,2,2,150,0
150_1,0,2,0,2,150,1
150_2,0,2,0,2,150,2
151_0,0,0,2,2,151,0
152_0,0,0,2,2,152,0
153_0,0,2,0,2,153,0
154_0,1,1,0,2,154,0
154_1,0,2,0,2,154,1
155_0,0,0,2,2,155,0
156_0,0,2,0,2,156,0
156_1,0,2,0,2,156,1
157_0,0,2,0,2,157,0
158_0,0,2,0,2,158,0
159_0,0,2,0,2,159,0
160_0,0,2,0,2,160,0
161_0,0,2,0,2,161,0
161_1,0,1,1,2,161,1
161_2,0,2,0,2,161,2
162_0,2,0,0,2,162,0
162_1,0,2,0,2,162,1
164_0,0,2,0,2,164,0
165_0,0,2,0,2,165,0
165_1,1,1,0,2,165,1
165_2,1,1,0,2,165,2
166_0,0,0,2,2,166,0
167_0,0,0,2,2,167,0
168_0,0,0,2,2,168,0
169_0,0,0,2,2,169,0
170_0,2,0,0,2,170,0
170_1,2,0,0,2,170,1
170_2,2,0,0,2,170,2
171_0,2,0,0,2,171,0
171_1,0,0,2,2,171,1
172_0,0,2,0,2,172,0
172_1,1,1,0,2,172,1
173_0,0,0,2,2,173,0
174_0,0,0,2,2,174,0
175_0,0,0,2,2,175,0
176_0,0,0,2,2,176,0
177_0,0,0,2,2,177,0
178_0,0,0,2,2,178,0
179_0,0,0,2,2,179,0
179_1,0,2,0,2,179,1
180_0,0,2,0,2,180,0
181_0,2,0,0,2,181,0
181_1,0,0,2,2,181,1
181_2,0,2,0,2,181,2
182_0,0,2,0,2,182,0
184_0,0,0,2,2,184,0
186_0,0,0,2,2,186,0
186_1,2,0,0,2,186,1
187_0,2,0,0,2,187,0
188_0,2,0,0,2,188,0
188_1,2,0,0,2,188,1
188_2,2,0,0,2,188,2
189_0,2,0,0,2,189,0
189_1,2,0,0,2,189,1
190_0,0,2,0,2,190,0
190_1,0,0,2,2,190,1
190_2,2,0,0,2,190,2
191_0,2,0,0,2,191,0
194_0,1,0,1,2,194,0
194_1,2,0,0,2,194,1
194_2,2,0,0,2,194,2
194_3,2,0,0,2,194,3
194_4,2,0,0,2,194,4
195_0,2,0,0,2,195,0
195_1,0,0,2,2,195,1
195_2,0,2,0,2,195,2
196_0,2,0,0,2,196,0
197_0,0,0,2,2,197,0
198_0,1,0,1,2,198,0
199_0,1,1,0,2,199,0
199_1,1,1,0,2,199,1
200_0,0,0,2,2,200,0
200_1,2,0,0,2,200,1
201_0,0,2,0,2,201,0
202_0,0,2,0,2,202,0
203_0,0,1,0,1,203,0
204_0,0,0,2,2,204,0
205_0,0,0,2,2,205,0
205_1,0,2,0,2,205,1
205_2,2,0,0,2,205,2
205_3,2,0,0,2,205,3
206_0,0,0,2,2,206,0
207_0,0,0,2,2,207,0
208_0,0,2,0,2,208,0
209_0,0,2,0,2,209,0
210_0,0,2,0,2,210,0
211_0,0,2,0,2,211,0
212_0,0,0,2,2,212,0
212_1,0,1,1,2,212,1
213_0,0,0,2,2,213,0
214_0,0,2,0,2,214,0
214_1,0,2,0,2,214,1
215_0,0,2,0,2,215,0
217_0,0,0,2,2,217,0
218_0,0,1,1,2,218,0
218_1,0,0,2,2,218,1
218_2,0,2,0,2,218,2
218_3,0,0,2,2,218,3
219_0,1,0,1,2,219,0
219_1,0,0,2,2,219,1
220_0,0,0,2,2,220,0
221_0,0,0,2,2,221,0
222_0,0,0,2,2,222,0
222_1,0,1,1,2,222,1
222_2,0,1,1,2,222,2
222_3,0,1,1,2,222,3
222_4,1,1,0,2,222,4
222_5,1,1,0,2,222,5
223_0,1,0,1,2,223,0
223_1,0,0,2,2,223,1
223_2,0,0,2,2,223,2
224_0,1,1,0,2,224,0
225_0,0,0,2,2,225,0
226_0,0,1,1,2,226,0
227_0,0,0,2,2,227,0
228_0,0,0,2,2,228,0
228_1,0,2,0,2,228,1
228_2,0,0,2,2,228,2
228_3,2,0,0,2,228,3
228_4,0,0,2,2,228,4
229_0,0,0,2,2,229,0
229_1,0,2,0,2,229,1
229_2,0,2,0,2,229,2
230_0,0,0,2,2,230,0
231_0,0,0,2,2,231,0
232_0,0,1,1,2,232,0
233_0,1,1,0,2,233,0
234_0,0,0,2,2,234,0
235_0,1,1,0,2,235,0
235_1,2,0,0,2,235,1
235_2,0,2,0,2,235,2
236_0,1,1,0,2,236,0
236_1,0,2,0,2,236,1
237_0,0,2,0,2,237,0
237_1,0,0,2,2,237,1
238_0,0,0,1,1,238,0
238_1,0,0,1,1,238,1
238_2,1,0,0,1,238,2
239_0,0,0,2,2,239,0
241_0,0,2,0,2,241,0
242_0,1,1,0,2,242,0
242_1,2,0,0,2,242,1
243_0,0,0,2,2,243,0
244_0,0,2,0,2,244,0
245_0,0,0,2,2,245,0
246_0,0,0,2,2,246,0
247_0,0,2,0,2,247,0
247_1,0,0,2,2,247,1
247_2,1,0,1,2,247,2
248_0,1,1,0,2,248,0
248_1,0,2,0,2,248,1
249_0,1,1,0,2,249,0
249_1,0,0,2,2,249,1
250_0,0,0,2,2,250,0
251_0,0,0,1,1,251,0
253_0,0,0,2,2,253,0
254_0,1,1,0,2,254,0
254_1,1,1,0,2,254,1
255_0,0,0,2,2,255,0
256_0,0,0,2,2,256,0
257_0,1,1,0,2,257,0
257_1,1,1,0,2,257,1
258_0,0,0,2,2,258,0
259_0,0,0,2,2,259,0
261_0,0,2,0,2,261,0
262_0,0,2,0,2,262,0
263_0,1,0,1,2,263,0
263_1,2,0,0,2,263,1
264_0,0,2,0,2,264,0
266_0,0,2,0,2,266,0
268_0,2,0,0,2,268,0
268_1,2,0,0,2,268,1
269_0,1,1,0,2,269,0
269_1,1,1,0,2,269,1
269_2,0,2,0,2,269,2
270_0,2,0,0,2,270,0
270_1,0,2,0,2,270,1
271_0,0,0,2,2,271,0
272_0,2,0,0,2,272,0
273_0,0,2,0,2,273,0
273_1,2,0,0,2,273,1
274_0,0,2,0,2,274,0
275_0,0,2,0,2,275,0
276_0,0,2,0,2,276,0
277_0,1,1,0,2,277,0
277_1,1,1,0,2,277,1
278_0,2,0,0,2,278,0
279_0,0,0,2,2,279,0
281_0,0,2,0,2,281,0
282_0,1,0,1,2,282,0
283_0,2,0,0,2,283,0
283_1,2,0,0,2,283,1
284_0,0,0,2,2,284,0
285_0,0,0,2,2,285,0
286_0,0,2,0,2,286,0
288_0,0,2,0,2,288,0
289_0,0,2,0,2,289,0
290_0,0,2,0,2,290,0
290_1,1,0,1,2,290,1
291_0,0,2,0,2,291,0
292_0,0,0,2,2,292,0
293_0,0,2,0,2,293,0
293_1,1,0,1,2,293,1
294_0,0,0,2,2,294,0
294_1,1,0,1,2,294,1
295_0,0,0,1,1,295,0
295_1,1,0,0,1,295,1
295_2,0,0,1,1,295,2
297_0,1,0,1,2,297,0
297_1,0,0,2,2,297,1
298_0,1,1,0,2,298,0
299_0,2,0,0,2,299,0
299_1,2,0,0,2,299,1
299_2,1,0,1,2,299,2
300_0,0,2,0,2,300,0
300_1,1,1,0,2,300,1
301_0,0,2,0,2,301,0
302_0,1,1,0,2,302,0
304_0,0,2,0,2,304,0
305_0,0,2,0,2,305,0
306_0,0,2,0,2,306,0
307_0,0,2,0,2,307,0
308_0,0,2,0,2,308,0
308_1,2,0,0,2,308,1
309_0,0,2,0,2,309,0
310_0,1,1,0,2,310,0
311_0,0,2,0,2,311,0
313_0,0,2,0,2,313,0
314_0,0,2,0,2,314,0
314_1,2,0,0,2,314,1
314_2,2,0,0,2,314,2
315_0,1,0,1,2,315,0
316_0,0,0,2,2,316,0
317_0,0,0,2,2,317,0
318_0,0,0,2,2,318,0
319_0,0,0,2,2,319,0
320_0,0,1,1,2,320,0
320_1,0,1,1,2,320,1
320_2,1,1,0,2,320,2
321_0,0,2,0,2,321,0
321_1,1,0,1,2,321,1
322_0,1,0,1,2,322,0
323_0,0,0,2,2,323,0
323_1,0,0,2,2,323,1
324_0,0,1,1,2,324,0
324_1,1,0,1,2,324,1
325_0,1,1,0,2,325,0
325_1,0,0,2,2,325,1
325_2,0,0,2,2,325,2
326_0,0,2,0,2,326,0
327_0,0,2,0,2,327,0
328_0,0,2,0,2,328,0
329_0,0,2,0,2,329,0
330_0,0,0,2,2,330,0
330_1,2,0,0,2,330,1
330_2,0,2,0,2,330,2
331_0,0,0,2,2,331,0
332_0,0,0,2,2,332,0
333_0,2,0,0,2,333,0
333_1,1,1,0,2,333,1
334_0,0,0,2,2,334,0
335_0,0,0,2,2,335,0
336_0,0,0,2,2,336,0
337_0,0,0,2,2,337,0
338_0,0,2,0,2,338,0
339_0,0,2,0,2,339,0
339_1,2,0,0,2,339,1
340_0,1,0,1,2,340,0
342_0,0,0,2,2,342,0
343_0,0,0,2,2,343,0
344_0,2,0,0,2,344,0
344_1,2,0,0,2,344,1
344_2,1,0,1,2,344,2
345_0,0,2,0,2,345,0
346_0,0,2,0,2,346,0
347_0,0,0,2,2,347,0
348_0,0,0,2,2,348,0
351_0,0,0,2,2,351,0
352_0,0,2,0,2,352,0
354_0,0,0,2,2,354,0
356_0,0,0,2,2,356,0
357_0,0,2,0,2,357,0
358_0,0,2,0,2,358,0
358_1,2,0,0,2,358,1
359_0,0,0,2,2,359,0
360_0,1,0,1,2,360,0
361_0,0,0,2,2,361,0
361_1,2,0,0,2,361,1
362_0,0,0,2,2,362,0
363_0,0,0,2,2,363,0
364_0,0,2,0,2,364,0
364_1,1,1,0,2,364,1
365_0,0,2,0,2,365,0
365_1,1,1,0,2,365,1
365_2,1,0,1,2,365,2
365_3,1,0,1,2,365,3
366_0,0,0,2,2,366,0
367_0,2,0,0,2,367,0
367_1,0,0,2,2,367,1
367_2,1,1,0,2,367,2
369_0,0,0,2,2,369,0
370_0,0,0,2,2,370,0
370_1,2,0,0,2,370,1
371_0,1,1,0,2,371,0
371_1,0,0,2,2,371,1
371_2,1,0,1,2,371,2
372_0,0,0,2,2,372,0
373_0,0,0,2,2,373,0
375_0,0,0,2,2,375,0
376_0,0,0,2,2,376,0
377_0,0,1,1,2,377,0
377_1,0,0,2,2,377,1
378_0,0,2,0,2,378,0
379_0,1,1,0,2,379,0
379_1,1,1,0,2,379,1
381_0,0,2,0,2,381,0
382_0,1,1,0,2,382,0
382_1,1,1,0,2,382,1
383_0,0,2,0,2,383,0
383_1,2,0,0,2,383,1
384_0,1,0,1,2,384,0
385_0,2,0,0,2,385,0
386_0,0,0,2,2,386,0
387_0,0,0,2,2,387,0
388_0,0,0,2,2,388,0
389_0,0,0,2,2,389,0
390_0,0,2,0,2,390,0
390_1,2,0,0,2,390,1
391_0,0,0,2,2,391,0
392_0,1,0,1,2,392,0
393_0,0,0,2,2,393,0
393_1,2,0,0,2,393,1
394_0,0,2,0,2,394,0
394_1,2,0,0,2,394,1
395_0,1,1,0,2,395,0
395_1,0,0,2,2,395,1
396_0,2,0,0,2,396,0
396_1,1,1,0,2,396,1
397_0,0,1,1,2,397,0
397_1,2,0,0,2,397,1
398_0,2,0,0,2,398,0
399_0,0,0,2,2,399,0
400_0,2,0,0,2,400,0
400_1,0,2,0,2,400,1
401_0,0,0,2,2,401,0
403_0,0,0,2,2,403,0
404_0,2,0,0,2,404,0
406_0,2,0,0,2,406,0
407_0,0,0,2,2,407,0
408_0,0,0,2,2,408,0
409_0,2,0,0,2,409,0
409_1,1,1,0,2,409,1
409_2,2,0,0,2,409,2
410_0,0,0,2,2,410,0
411_0,0,1,1,2,411,0
411_1,1,0,1,2,411,1
412_0,0,0,2,2,412,0
412_1,1,0,1,2,412,1
412_2,0,2,0,2,412,2
413_0,0,2,0,2,413,0
413_1,1,1,0,2,413,1
414_0,0,0,2,2,414,0
415_0,0,0,2,2,415,0
415_1,0,2,0,2,415,1
415_2,0,0,2,2,415,2
415_3,1,0,1,2,415,3
416_0,2,0,0,2,416,0
416_1,1,1,0,2,416,1
417_0,0,0,2,2,417,0
418_0,0,0,2,2,418,0
418_1,1,1,0,2,418,1
419_0,1,0,1,2,419,0
419_1,1,0,1,2,419,1
