,sent_id,file_id,cpt,category,hotel_id
0_0,0,0,0,facility,260
0_2,2,0,0,facility,260
0_3,3,0,0,facility,260
0_4,4,0,0,facility,260
0_5,5,0,0,facility,260
0_6,6,0,0,facility,260
0_7,7,0,0,facility,260
0_8,8,0,0,facility,260
0_9,9,0,0,facility,260
0_10,10,0,1,facility,260
0_11,11,0,1,facility,260
0_12,12,0,1,facility,260
0_13,13,0,1,facility,260
0_14,14,0,1,facility,260
0_15,15,0,1,facility,260
0_17,17,0,1,facility,260
0_18,18,0,1,facility,260
0_19,19,0,1,facility,260
1_0,0,1,0,pool,260
1_1,1,1,0,pool,260
1_2,2,1,0,pool,260
1_3,3,1,0,pool,260
1_4,4,1,0,pool,260
1_5,5,1,0,pool,260
1_7,7,1,0,pool,260
1_8,8,1,0,pool,260
1_9,9,1,0,pool,260
1_10,10,1,1,pool,260
1_11,11,1,1,pool,260
1_12,12,1,1,pool,260
1_13,13,1,1,pool,260
1_14,14,1,1,pool,260
1_15,15,1,1,pool,260
1_18,18,1,1,pool,260
2_0,0,2,0,renovation_room,260
2_1,1,2,0,renovation_room,260
2_2,2,2,0,renovation_room,260
2_3,3,2,0,renovation_room,260
2_5,5,2,0,renovation_room,260
2_6,6,2,0,renovation_room,260
2_7,7,2,0,renovation_room,260
2_8,8,2,0,renovation_room,260
2_9,9,2,0,renovation_room,260
2_10,10,2,1,renovation_room,260
2_11,11,2,1,renovation_room,260
2_12,12,2,1,renovation_room,260
2_13,13,2,1,renovation_room,260
2_14,14,2,1,renovation_room,260
2_15,15,2,1,renovation_room,260
2_16,16,2,1,renovation_room,260
2_17,17,2,1,renovation_room,260
2_18,18,2,1,renovation_room,260
2_19,19,2,1,renovation_room,260
3_0,0,3,0,restaurant,260
3_1,1,3,0,restaurant,260
3_2,2,3,0,restaurant,260
3_3,3,3,0,restaurant,260
3_5,5,3,0,restaurant,260
3_6,6,3,0,restaurant,260
3_7,7,3,0,restaurant,260
3_8,8,3,0,restaurant,260
3_9,9,3,0,restaurant,260
3_10,10,3,1,restaurant,260
3_11,11,3,1,restaurant,260
3_12,12,3,1,restaurant,260
3_13,13,3,1,restaurant,260
3_14,14,3,1,restaurant,260
3_15,15,3,1,restaurant,260
3_16,16,3,1,restaurant,260
3_17,17,3,1,restaurant,260
3_18,18,3,1,restaurant,260
3_19,19,3,1,restaurant,260
3_20,20,3,2,restaurant,260
3_21,21,3,2,restaurant,260
3_22,22,3,2,restaurant,260
3_23,23,3,2,restaurant,260
3_24,24,3,2,restaurant,260
3_25,25,3,2,restaurant,260
3_26,26,3,2,restaurant,260
3_27,27,3,2,restaurant,260
3_28,28,3,2,restaurant,260
3_29,29,3,2,restaurant,260
3_30,30,3,3,restaurant,260
3_32,32,3,3,restaurant,260
3_33,33,3,3,restaurant,260
3_34,34,3,3,restaurant,260
3_35,35,3,3,restaurant,260
3_36,36,3,3,restaurant,260
3_37,37,3,3,restaurant,260
3_38,38,3,3,restaurant,260
3_39,39,3,3,restaurant,260
3_40,40,3,4,restaurant,260
3_41,41,3,4,restaurant,260
3_42,42,3,4,restaurant,260
3_43,43,3,4,restaurant,260
3_44,44,3,5,restaurant,260
3_45,45,3,5,restaurant,260
3_46,46,3,5,restaurant,260
3_47,47,3,5,restaurant,260
3_48,48,3,5,restaurant,260
3_49,49,3,5,restaurant,260
3_50,50,3,5,restaurant,260
3_51,51,3,5,restaurant,260
3_52,52,3,5,restaurant,260
3_53,53,3,5,restaurant,260
4_0,0,4,0,room,260
4_1,1,4,0,room,260
4_2,2,4,0,room,260
4_3,3,4,0,room,260
4_4,4,4,0,room,260
4_6,6,4,0,room,260
4_7,7,4,0,room,260
4_8,8,4,0,room,260
4_9,9,4,0,room,260
4_10,10,4,1,room,260
4_11,11,4,1,room,260
4_12,12,4,1,room,260
4_13,13,4,1,room,260
4_15,15,4,1,room,260
4_16,16,4,1,room,260
4_17,17,4,1,room,260
4_18,18,4,1,room,260
4_19,19,4,1,room,260
4_20,20,4,2,room,260
4_21,21,4,2,room,260
4_22,22,4,2,room,260
4_23,23,4,2,room,260
4_24,24,4,2,room,260
4_25,25,4,2,room,260
4_26,26,4,3,room,260
4_27,27,4,3,room,260
4_28,28,4,3,room,260
4_29,29,4,3,room,260
4_30,30,4,3,room,260
4_31,31,4,3,room,260
4_32,32,4,3,room,260
4_33,33,4,3,room,260
4_35,35,4,3,room,260
5_0,0,5,0,facility,110
5_1,1,5,0,facility,110
5_2,2,5,0,facility,110
5_3,3,5,0,facility,110
5_4,4,5,0,facility,110
5_5,5,5,0,facility,110
5_6,6,5,0,facility,110
5_7,7,5,0,facility,110
5_8,8,5,0,facility,110
5_9,9,5,0,facility,110
5_10,10,5,1,facility,110
5_11,11,5,1,facility,110
5_12,12,5,1,facility,110
5_13,13,5,1,facility,110
5_14,14,5,1,facility,110
5_15,15,5,1,facility,110
5_16,16,5,1,facility,110
5_17,17,5,1,facility,110
5_18,18,5,1,facility,110
5_19,19,5,1,facility,110
6_0,0,6,0,reception,110
6_1,1,6,0,reception,110
6_2,2,6,0,reception,110
6_3,3,6,0,reception,110
6_4,4,6,0,reception,110
6_5,5,6,0,reception,110
6_6,6,6,0,reception,110
6_7,7,6,0,reception,110
6_8,8,6,0,reception,110
6_9,9,6,0,reception,110
6_10,10,6,1,reception,110
6_11,11,6,1,reception,110
6_13,13,6,1,reception,110
6_14,14,6,1,reception,110
6_15,15,6,1,reception,110
6_16,16,6,1,reception,110
6_17,17,6,1,reception,110
6_18,18,6,1,reception,110
6_19,19,6,1,reception,110
6_20,20,6,2,reception,110
6_21,21,6,2,reception,110
6_22,22,6,2,reception,110
6_23,23,6,2,reception,110
6_24,24,6,2,reception,110
6_25,25,6,2,reception,110
6_26,26,6,2,reception,110
6_27,27,6,2,reception,110
6_28,28,6,2,reception,110
6_29,29,6,2,reception,110
7_0,0,7,0,pool,110
7_1,1,7,0,pool,110
7_2,2,7,0,pool,110
7_3,3,7,0,pool,110
7_4,4,7,0,pool,110
7_5,5,7,0,pool,110
7_6,6,7,0,pool,110
7_7,7,7,0,pool,110
7_8,8,7,0,pool,110
7_9,9,7,0,pool,110
7_10,10,7,1,pool,110
7_11,11,7,1,pool,110
7_12,12,7,1,pool,110
7_13,13,7,1,pool,110
7_14,14,7,1,pool,110
7_15,15,7,1,pool,110
7_16,16,7,1,pool,110
7_17,17,7,1,pool,110
7_18,18,7,1,pool,110
7_19,19,7,1,pool,110
8_0,0,8,0,restaurant,110
8_1,1,8,0,restaurant,110
8_2,2,8,0,restaurant,110
8_3,3,8,0,restaurant,110
8_4,4,8,0,restaurant,110
8_5,5,8,0,restaurant,110
8_6,6,8,0,restaurant,110
8_7,7,8,0,restaurant,110
8_8,8,8,0,restaurant,110
8_9,9,8,0,restaurant,110
8_10,10,8,1,restaurant,110
8_11,11,8,1,restaurant,110
8_12,12,8,1,restaurant,110
8_13,13,8,1,restaurant,110
8_14,14,8,1,restaurant,110
8_15,15,8,1,restaurant,110
8_16,16,8,1,restaurant,110
8_17,17,8,1,restaurant,110
8_18,18,8,2,restaurant,110
8_19,19,8,2,restaurant,110
8_20,20,8,2,restaurant,110
8_21,21,8,2,restaurant,110
8_22,22,8,2,restaurant,110
8_23,23,8,2,restaurant,110
8_24,24,8,2,restaurant,110
8_25,25,8,2,restaurant,110
8_26,26,8,2,restaurant,110
8_27,27,8,2,restaurant,110
8_28,28,8,3,restaurant,110
8_29,29,8,3,restaurant,110
8_30,30,8,3,restaurant,110
8_31,31,8,3,restaurant,110
8_32,32,8,3,restaurant,110
8_33,33,8,3,restaurant,110
8_34,34,8,3,restaurant,110
8_35,35,8,3,restaurant,110
8_36,36,8,3,restaurant,110
8_37,37,8,3,restaurant,110
9_0,0,9,0,room,110
9_1,1,9,0,room,110
9_2,2,9,0,room,110
9_3,3,9,0,room,110
9_4,4,9,0,room,110
9_5,5,9,0,room,110
9_6,6,9,0,room,110
9_7,7,9,0,room,110
9_8,8,9,0,room,110
9_9,9,9,0,room,110
9_10,10,9,1,room,110
9_11,11,9,1,room,110
9_12,12,9,1,room,110
9_13,13,9,1,room,110
9_14,14,9,1,room,110
9_15,15,9,1,room,110
9_16,16,9,1,room,110
9_17,17,9,1,room,110
9_18,18,9,1,room,110
9_19,19,9,1,room,110
10_0,0,10,0,reception,327
10_1,1,10,0,reception,327
10_2,2,10,0,reception,327
10_3,3,10,0,reception,327
10_4,4,10,0,reception,327
10_5,5,10,0,reception,327
10_6,6,10,0,reception,327
10_7,7,10,0,reception,327
10_8,8,10,0,reception,327
10_9,9,10,0,reception,327
10_10,10,10,1,reception,327
