,no-aspect,no-sentiment,yes-aspect,yes-sentiment,Total,fileId,iId
1_0,1,0,1,2,4,1,0
1_9,0,1,2,1,4,1,9
1_12,1,0,1,2,4,1,12
1_14,1,0,1,2,4,1,14
1_15,1,0,1,2,4,1,15
5_2,1,1,1,1,4,5,2
5_3,1,1,1,1,4,5,3
5_4,1,1,1,1,4,5,4
5_7,1,0,1,2,4,5,7
5_8,1,0,1,2,4,5,8
5_11,1,0,1,2,4,5,11
5_12,2,1,0,1,4,5,12
5_14,1,0,1,2,4,5,14
7_0,1,2,1,0,4,7,0
7_1,1,2,1,0,4,7,1
7_2,1,2,1,0,4,7,2
7_3,1,1,1,1,4,7,3
7_7,0,1,2,1,4,7,7
7_17,2,1,0,1,4,7,17
11_3,1,0,1,2,4,11,3
11_4,1,0,1,2,4,11,4
11_10,1,1,1,1,4,11,10
11_11,0,1,2,1,4,11,11
11_12,1,2,1,0,4,11,12
11_13,1,2,1,0,4,11,13
12_0,1,1,1,1,4,12,0
12_2,1,0,1,2,4,12,2
12_4,1,1,1,1,4,12,4
12_8,0,1,2,1,4,12,8
13_3,2,1,0,1,4,13,3
13_5,2,1,0,1,4,13,5
13_6,1,1,1,1,4,13,6
13_9,1,2,1,0,4,13,9
13_10,0,1,2,1,4,13,10
13_11,1,1,1,1,4,13,11
15_0,0,1,2,1,4,15,0
15_4,1,0,1,2,4,15,4
15_6,1,0,1,2,4,15,6
15_7,1,0,1,2,4,15,7
15_8,1,0,1,2,4,15,8
15_9,1,0,1,2,4,15,9
15_10,1,0,1,2,4,15,10
15_11,1,0,1,2,4,15,11
15_12,1,0,1,2,4,15,12
15_17,1,0,1,2,4,15,17
16_0,1,2,1,0,4,16,0
16_5,1,0,1,2,4,16,5
16_7,1,0,1,2,4,16,7
16_10,1,0,1,2,4,16,10
16_11,1,0,1,2,4,16,11
16_13,1,0,1,2,4,16,13
16_14,1,0,1,2,4,16,14
16_16,1,0,1,2,4,16,16
16_17,1,0,1,2,4,16,17
16_18,1,0,1,2,4,16,18
16_19,1,0,1,2,4,16,19
17_3,2,1,0,1,4,17,3
17_4,2,1,0,1,4,17,4
17_5,2,1,0,1,4,17,5
17_11,2,1,0,1,4,17,11
17_12,1,2,1,0,4,17,12
17_13,2,1,0,1,4,17,13
17_16,1,0,1,2,4,17,16
18_8,0,1,2,1,4,18,8
18_12,1,0,1,2,4,18,12
18_14,1,0,1,2,4,18,14
19_1,1,0,1,2,4,19,1
19_11,1,0,1,2,4,19,11
19_16,1,0,1,2,4,19,16
20_0,1,0,1,2,4,20,0
20_2,1,0,1,2,4,20,2
20_3,2,1,0,1,4,20,3
20_4,2,1,0,1,4,20,4
20_5,1,0,1,2,4,20,5
20_6,2,1,0,1,4,20,6
20_7,1,1,1,1,4,20,7
20_8,1,0,1,2,4,20,8
20_9,1,1,1,1,4,20,9
20_12,1,0,1,2,4,20,12
20_13,0,1,2,1,4,20,13
20_14,1,0,1,2,4,20,14
20_15,1,0,1,2,4,20,15
20_20,2,1,0,1,4,20,20
20_22,1,0,1,2,4,20,22
20_23,1,0,1,2,4,20,23
20_24,1,0,1,2,4,20,24
20_25,2,1,0,1,4,20,25
20_26,1,0,1,2,4,20,26
20_27,1,1,1,1,4,20,27
20_28,1,0,1,2,4,20,28
20_29,2,1,0,1,4,20,29
22_2,2,1,0,1,4,22,2
22_7,1,1,1,1,4,22,7
22_12,1,0,1,2,4,22,12
22_13,1,1,1,1,4,22,13
22_19,1,0,1,2,4,22,19
24_1,0,1,2,1,4,24,1
24_2,1,2,1,0,4,24,2
24_14,0,1,2,1,4,24,14
24_16,1,0,1,2,4,24,16
25_1,0,1,2,1,4,25,1
25_3,1,1,1,1,4,25,3
25_4,2,1,0,1,4,25,4
25_6,1,1,1,1,4,25,6
25_7,0,1,2,1,4,25,7
25_10,1,0,1,2,4,25,10
25_12,1,0,1,2,4,25,12
27_12,0,1,2,1,4,27,12
27_22,2,1,0,1,4,27,22
27_23,1,2,1,0,4,27,23
27_25,1,2,1,0,4,27,25
28_1,0,1,2,1,4,28,1
28_4,1,0,1,2,4,28,4
30_2,1,0,1,2,4,30,2
30_7,1,0,1,2,4,30,7
30_8,1,0,1,2,4,30,8
30_10,2,1,0,1,4,30,10
30_11,1,1,1,1,4,30,11
30_12,1,1,1,1,4,30,12
30_13,1,0,1,2,4,30,13
30_16,1,0,1,2,4,30,16
30_18,1,2,1,0,4,30,18
30_19,2,1,0,1,4,30,19
30_22,2,1,0,1,4,30,22
30_23,1,1,1,1,4,30,23
30_24,1,1,1,1,4,30,24
30_26,1,1,1,1,4,30,26
32_8,1,0,1,2,4,32,8
32_13,1,0,1,2,4,32,13
32_15,1,0,1,2,4,32,15
36_1,1,2,1,0,4,36,1
36_7,0,1,2,1,4,36,7
36_8,1,1,1,1,4,36,8
37_0,1,0,1,2,4,37,0
37_7,0,1,2,1,4,37,7
39_0,0,1,2,1,4,39,0
39_2,0,1,2,1,4,39,2
39_3,2,1,0,1,4,39,3
39_5,2,1,0,1,4,39,5
39_7,2,1,0,1,4,39,7
39_8,1,0,1,2,4,39,8
39_10,0,1,2,1,4,39,10
39_11,2,1,0,1,4,39,11
39_13,2,1,0,1,4,39,13
39_14,1,0,1,2,4,39,14
39_17,0,1,2,1,4,39,17
39_19,1,2,1,0,4,39,19
40_1,1,1,1,1,4,40,1
40_3,1,1,1,1,4,40,3
40_4,1,1,1,1,4,40,4
40_5,2,1,0,1,4,40,5
40_6,0,1,2,1,4,40,6
40_7,1,1,1,1,4,40,7
40_8,2,1,0,1,4,40,8
40_9,1,1,1,1,4,40,9
40_10,1,1,1,1,4,40,10
40_14,1,1,1,1,4,40,14
40_15,1,2,1,0,4,40,15
40_19,1,2,1,0,4,40,19
40_20,1,2,1,0,4,40,20
41_0,1,2,1,0,4,41,0
41_2,1,2,1,0,4,41,2
41_3,1,2,1,0,4,41,3
41_7,2,1,0,1,4,41,7
41_9,1,2,1,0,4,41,9
41_11,1,1,1,1,4,41,11
41_16,2,1,0,1,4,41,16
41_17,1,1,1,1,4,41,17
41_19,1,1,1,1,4,41,19
42_8,0,1,2,1,4,42,8
42_9,0,1,2,1,4,42,9
43_2,0,1,2,1,4,43,2
43_5,1,2,1,0,4,43,5
43_7,1,2,1,0,4,43,7
43_8,0,1,2,1,4,43,8
43_14,1,2,1,0,4,43,14
43_15,1,0,1,2,4,43,15
43_19,1,0,1,2,4,43,19
44_1,1,0,1,2,4,44,1
44_3,0,1,2,1,4,44,3
44_5,2,1,0,1,4,44,5
44_6,1,0,1,2,4,44,6
44_9,1,2,1,0,4,44,9
44_10,1,0,1,2,4,44,10
44_12,1,1,1,1,4,44,12
44_14,1,1,1,1,4,44,14
44_16,2,1,0,1,4,44,16
44_18,1,0,1,2,4,44,18
44_26,0,1,2,1,4,44,26
46_2,0,1,2,1,4,46,2
46_8,2,1,0,1,4,46,8
46_10,1,2,1,0,4,46,10
46_11,2,1,0,1,4,46,11
46_14,1,0,1,2,4,46,14
46_18,1,0,1,2,4,46,18
46_21,1,1,1,1,4,46,21
46_25,1,1,1,1,4,46,25
46_27,2,1,0,1,4,46,27
46_29,1,2,1,0,4,46,29
47_4,1,1,1,1,4,47,4
47_16,1,1,1,1,4,47,16
47_17,1,0,1,2,4,47,17
51_5,2,1,0,1,4,51,5
51_6,2,1,0,1,4,51,6
51_9,1,0,1,2,4,51,9
51_10,1,0,1,2,4,51,10
51_11,0,1,2,1,4,51,11
51_12,1,1,1,1,4,51,12
51_14,2,1,0,1,4,51,14
51_15,2,1,0,1,4,51,15
51_16,2,1,0,1,4,51,16
51_17,2,1,0,1,4,51,17
51_18,2,1,0,1,4,51,18
51_22,2,1,0,1,4,51,22
51_25,1,1,1,1,4,51,25
51_27,1,1,1,1,4,51,27
51_28,2,1,0,1,4,51,28
51_29,2,1,0,1,4,51,29
51_30,2,1,0,1,4,51,30
51_31,1,1,1,1,4,51,31
51_34,2,1,0,1,4,51,34
51_36,2,1,0,1,4,51,36
51_37,1,1,1,1,4,51,37
51_38,2,1,0,1,4,51,38
52_11,2,1,0,1,4,52,11
52_12,1,1,1,1,4,52,12
52_18,2,1,0,1,4,52,18
52_19,2,1,0,1,4,52,19
52_20,1,0,1,2,4,52,20
52_23,1,1,1,1,4,52,23
52_24,1,2,1,0,4,52,24
52_25,1,2,1,0,4,52,25
52_26,2,1,0,1,4,52,26
53_1,0,1,2,1,4,53,1
