,a,b,c,Total,category,hotel_id,fileId,iId
0_0,2,0,1,3,facility,260,0,0
1_0,0,0,2,2,pool,260,1,0
2_0,2,0,1,3,renovation_room,260,2,0
3_0,2,0,1,3,restaurant,260,3,0
3_1,2,0,1,3,restaurant,260,3,1
3_2,0,0,2,2,restaurant,260,3,2
3_3,0,0,2,2,restaurant,260,3,3
3_4,0,0,2,2,restaurant,260,3,4
4_0,1,0,2,3,room,260,4,0
4_1,0,0,3,3,room,260,4,1
4_2,0,2,1,3,room,260,4,2
5_0,2,0,0,2,facility,110,5,0
6_0,0,2,1,3,reception,110,6,0
6_1,0,2,1,3,reception,110,6,1
7_0,2,0,0,2,pool,110,7,0
8_0,2,0,1,3,restaurant,110,8,0
8_1,0,0,2,2,restaurant,110,8,1
8_2,0,2,0,2,restaurant,110,8,2
9_0,2,0,1,3,room,110,9,0
10_0,0,1,2,3,reception,327,10,0
11_0,0,2,0,2,pool,327,11,0
13_0,0,2,0,2,restaurant,327,13,0
14_0,0,2,1,3,room,327,14,0
14_1,2,0,1,3,room,327,14,1
15_0,2,0,0,2,facility,401,15,0
16_0,2,0,0,2,reception,401,16,0
17_0,2,0,0,2,pool,401,17,0
18_0,2,0,0,2,renovation_room,401,18,0
19_0,2,0,0,2,room,401,19,0
20_0,0,0,2,2,reception,319,20,0
20_1,0,0,2,2,reception,319,20,1
21_0,1,0,2,3,pool,319,21,0
22_0,0,2,0,2,renovation_room,319,22,0
23_0,0,0,3,3,restaurant,319,23,0
23_1,1,0,2,3,restaurant,319,23,1
24_0,0,2,0,2,room,319,24,0
25_0,2,0,0,2,facility,132,25,0
26_0,2,0,1,3,reception,132,26,0
27_0,0,2,0,2,pool,132,27,0
27_1,0,0,2,2,pool,132,27,1
28_0,2,0,0,2,renovation_room,132,28,0
29_0,2,0,1,3,room,132,29,0
30_0,0,2,0,2,facility,129,30,0
30_1,0,0,2,2,facility,129,30,1
31_0,1,1,1,3,pool,129,31,0
31_1,0,0,2,2,pool,129,31,1
31_2,1,1,1,3,pool,129,31,2
32_0,2,0,0,2,renovation_room,129,32,0
33_0,0,0,2,2,restaurant,129,33,0
33_1,2,0,1,3,restaurant,129,33,1
33_2,0,2,0,2,restaurant,129,33,2
34_0,0,0,2,2,room,129,34,0
34_1,0,1,2,3,room,129,34,1
34_2,2,0,0,2,room,129,34,2
34_3,2,0,1,3,room,129,34,3
35_0,2,0,1,3,facility,445,35,0
36_0,2,0,0,2,pool,445,36,0
37_0,2,0,0,2,renovation_room,445,37,0
38_0,1,0,2,3,restaurant,445,38,0
39_0,2,0,0,2,room,445,39,0
40_0,2,0,0,2,facility,136,40,0
40_1,0,0,2,2,facility,136,40,1
41_0,2,0,0,2,pool,136,41,0
42_0,2,0,0,2,renovation_room,136,42,0
43_0,0,2,0,2,restaurant,136,43,0
44_0,2,0,0,2,room,136,44,0
44_1,2,0,0,2,room,136,44,1
45_0,1,2,0,3,reception,243,45,0
45_1,0,2,1,3,reception,243,45,1
45_2,2,0,0,2,reception,243,45,2
46_0,1,0,2,3,pool,243,46,0
46_1,2,0,0,2,pool,243,46,1
46_2,0,2,0,2,pool,243,46,2
47_0,2,0,0,2,renovation_room,243,47,0
48_0,0,2,1,3,restaurant,243,48,0
49_0,0,0,2,2,room,243,49,0
49_1,0,0,2,2,room,243,49,1
49_2,1,1,1,3,room,243,49,2
49_3,0,2,1,3,room,243,49,3
50_0,0,2,1,3,facility,315,50,0
51_0,0,0,2,2,reception,315,51,0
51_1,0,0,2,2,reception,315,51,1
51_2,0,0,2,2,reception,315,51,2
52_0,0,0,2,2,pool,315,52,0
52_1,0,0,2,2,pool,315,52,1
54_0,2,0,1,3,restaurant,315,54,0
55_0,0,2,0,2,facility,113,55,0
56_0,0,2,0,2,pool,113,56,0
57_0,2,0,0,2,renovation_room,113,57,0
58_0,0,0,2,2,restaurant,113,58,0
58_1,0,2,1,3,restaurant,113,58,1
59_0,0,0,2,2,room,113,59,0
59_1,0,2,0,2,room,113,59,1
60_0,0,2,0,2,reception,356,60,0
61_0,2,0,0,2,pool,356,61,0
62_0,2,0,0,2,renovation_room,356,62,0
63_0,0,2,0,2,restaurant,356,63,0
64_0,0,2,0,2,room,356,64,0
64_1,0,0,2,2,room,356,64,1
65_0,2,0,0,2,facility,348,65,0
66_0,2,0,1,3,reception,348,66,0
66_1,0,0,2,2,reception,348,66,1
66_2,0,0,2,2,reception,348,66,2
67_0,1,0,2,3,pool,348,67,0
68_0,2,0,1,3,restaurant,348,68,0
68_1,2,0,1,3,restaurant,348,68,1
69_0,2,0,0,2,room,348,69,0
69_1,0,0,2,2,room,348,69,1
70_0,2,0,0,2,facility,350,70,0
71_0,0,0,2,2,reception,350,71,0
71_1,0,2,0,2,reception,350,71,1
72_0,2,0,0,2,renovation_room,350,72,0
73_0,0,2,0,2,restaurant,350,73,0
73_1,0,0,2,2,restaurant,350,73,1
74_0,0,0,2,2,room,350,74,0
74_1,0,1,2,3,room,350,74,1
75_0,2,0,1,3,facility,43,75,0
75_1,2,0,1,3,facility,43,75,1
76_0,2,0,0,2,reception,43,76,0
76_1,0,0,2,2,reception,43,76,1
76_2,0,0,2,2,reception,43,76,2
77_0,2,0,0,2,pool,43,77,0
78_0,0,0,2,2,restaurant,43,78,0
78_1,0,2,0,2,restaurant,43,78,1
79_0,0,2,0,2,room,43,79,0
80_0,2,0,0,2,reception,368,80,0
80_1,0,0,2,2,reception,368,80,1
81_0,2,0,1,3,pool,368,81,0
82_0,2,0,0,2,renovation_room,368,82,0
83_0,2,0,1,3,restaurant,368,83,0
84_0,2,0,0,2,room,368,84,0
85_0,2,0,0,2,facility,174,85,0
86_0,2,0,0,2,pool,174,86,0
87_0,2,0,1,3,renovation_room,174,87,0
87_1,0,0,2,2,renovation_room,174,87,1
88_0,0,0,2,2,restaurant,174,88,0
88_1,0,2,0,2,restaurant,174,88,1
89_0,2,0,0,2,room,174,89,0
90_0,0,2,1,3,facility,16,90,0
90_1,1,0,2,3,facility,16,90,1
91_0,2,0,0,2,pool,16,91,0
92_0,2,0,0,2,renovation_room,16,92,0
93_0,2,0,0,2,restaurant,16,93,0
94_0,0,2,0,2,room,16,94,0
94_1,2,0,1,3,room,16,94,1
94_2,2,0,0,2,room,16,94,2
95_0,0,2,0,2,facility,305,95,0
96_0,0,2,0,2,reception,305,96,0
97_0,2,0,0,2,renovation_room,305,97,0
98_0,0,2,0,2,restaurant,305,98,0
99_0,0,2,0,2,room,305,99,0
99_1,0,2,1,3,room,305,99,1
100_0,2,0,0,2,facility,167,100,0
101_0,2,0,0,2,reception,167,101,0
102_0,2,0,0,2,pool,167,102,0
103_0,2,0,0,2,reception,307,103,0
104_0,2,0,0,2,renovation_room,307,104,0
105_0,2,0,0,2,restaurant,307,105,0
107_0,0,0,2,2,restaurant,163,107,0
107_1,2,0,0,2,restaurant,163,107,1
108_0,2,0,0,2,room,163,108,0
108_1,1,1,1,3,room,163,108,1
109_0,0,2,0,2,facility,456,109,0
110_0,2,0,0,2,restaurant,456,110,0
110_1,2,0,0,2,restaurant,456,110,1
111_0,0,2,0,2,room,456,111,0
113_0,0,2,0,2,pool,259,113,0
114_0,2,0,0,2,room,259,114,0
115_0,2,0,0,2,facility,250,115,0
116_0,2,0,0,2,restaurant,250,116,0
117_0,2,0,0,2,room,250,117,0
117_1,2,0,0,2,room,250,117,1
118_0,0,0,2,2,reception,150,118,0
118_1,0,1,2,3,reception,150,118,1
119_0,2,0,0,2,pool,150,119,0
120_0,2,0,0,2,renovation_room,150,120,0
121_0,0,2,0,2,reception,131,121,0
122_0,0,2,0,2,restaurant,131,122,0
123_0,0,2,0,2,room,131,123,0
124_0,0,2,0,2,facility,471,124,0
125_0,0,2,0,2,pool,471,125,0
126_0,0,1,2,3,room,471,126,0
126_1,0,1,2,3,room,471,126,1
126_2,0,2,0,2,room,471,126,2
127_0,0,2,0,2,facility,56,127,0
128_0,0,2,0,2,pool,56,128,0
129_0,0,2,0,2,room,56,129,0
129_1,0,2,0,2,room,56,129,1
130_0,2,0,0,2,renovation_room,205,130,0
131_0,0,2,0,2,restaurant,205,131,0
132_0,0,2,0,2,room,205,132,0
133_0,0,2,0,2,reception,156,133,0
134_0,0,2,0,2,restaurant,156,134,0
135_0,0,2,0,2,room,156,135,0
136_0,0,1,1,2,pool,479,136,0
136_1,0,3,0,3,pool,479,136,1
137_0,2,0,0,2,renovation_room,479,137,0
138_0,1,0,2,3,room,479,138,0
138_1,2,0,1,3,room,479,138,1
139_0,0,2,0,2,facility,257,139,0
140_0,0,2,0,2,pool,257,140,0
141_0,0,2,0,2,room,257,141,0
141_1,0,2,0,2,room,257,141,1
142_0,0,2,0,2,pool,393,142,0
144_0,2,0,0,2,room,393,144,0
145_0,0,2,0,2,reception,91,145,0
147_0,2,0,0,2,restaurant,91,147,0
148_0,2,0,0,2,renovation_room,373,148,0
149_0,2,0,0,2,restaurant,373,149,0
150_0,2,0,0,2,room,373,150,0
150_1,0,2,0,2,room,373,150,1
150_2,0,2,0,2,room,373,150,2
151_0,2,0,0,2,reception,128,151,0
152_0,2,0,0,2,pool,128,152,0
153_0,0,2,0,2,renovation_room,128,153,0
154_0,0,1,2,3,reception,144,154,0
154_1,0,2,0,2,reception,144,154,1
155_0,2,0,0,2,pool,144,155,0
156_0,0,2,0,2,room,144,156,0
