,yes-sentiment,yes-aspect,no-sentiment,no-aspect,category,hotel_id,cpt,Total,fileId,iId
0_0,2,2,0,0,facility,260,0,4,0,0
0_2,2,2,0,0,facility,260,0,4,0,2
0_3,2,2,0,0,facility,260,0,4,0,3
0_4,0,2,2,0,facility,260,0,4,0,4
0_5,2,2,0,0,facility,260,0,4,0,5
0_6,2,2,0,0,facility,260,0,4,0,6
0_7,2,2,0,0,facility,260,0,4,0,7
0_8,2,1,0,1,facility,260,0,4,0,8
0_9,0,2,2,0,facility,260,0,4,0,9
0_10,2,2,0,0,facility,260,1,4,0,10
0_11,2,2,0,0,facility,260,1,4,0,11
0_12,2,2,0,0,facility,260,1,4,0,12
0_13,2,2,0,0,facility,260,1,4,0,13
0_14,2,2,0,0,facility,260,1,4,0,14
0_15,2,0,0,2,facility,260,1,4,0,15
0_17,2,2,0,0,facility,260,1,4,0,17
0_18,2,2,0,0,facility,260,1,4,0,18
0_19,2,2,0,0,facility,260,1,4,0,19
1_0,2,1,0,1,pool,260,0,4,1,0
1_1,2,2,0,0,pool,260,0,4,1,1
1_2,2,2,0,0,pool,260,0,4,1,2
1_3,2,2,0,0,pool,260,0,4,1,3
1_4,2,2,0,0,pool,260,0,4,1,4
1_5,2,0,0,2,pool,260,0,4,1,5
1_7,0,2,2,0,pool,260,0,4,1,7
1_8,2,2,0,0,pool,260,0,4,1,8
1_9,1,2,1,0,pool,260,0,4,1,9
1_10,2,2,0,0,pool,260,1,4,1,10
1_11,2,2,0,0,pool,260,1,4,1,11
1_12,2,1,0,1,pool,260,1,4,1,12
1_13,2,2,0,0,pool,260,1,4,1,13
1_14,2,1,0,1,pool,260,1,4,1,14
1_15,2,1,0,1,pool,260,1,4,1,15
1_18,2,2,0,0,pool,260,1,4,1,18
2_0,1,0,1,2,renovation_room,260,0,4,2,0
2_1,1,1,1,1,renovation_room,260,0,4,2,1
2_2,1,2,1,0,renovation_room,260,0,4,2,2
2_3,1,2,1,0,renovation_room,260,0,4,2,3
2_5,2,2,0,0,renovation_room,260,0,4,2,5
2_6,2,2,0,0,renovation_room,260,0,4,2,6
2_7,2,1,0,1,renovation_room,260,0,4,2,7
2_8,2,1,0,1,renovation_room,260,0,4,2,8
2_9,1,2,1,0,renovation_room,260,0,4,2,9
2_10,2,2,0,0,renovation_room,260,1,4,2,10
2_11,2,2,0,0,renovation_room,260,1,4,2,11
2_12,2,2,0,0,renovation_room,260,1,4,2,12
2_13,2,2,0,0,renovation_room,260,1,4,2,13
2_14,2,2,0,0,renovation_room,260,1,4,2,14
2_15,2,2,0,0,renovation_room,260,1,4,2,15
2_16,2,0,0,2,renovation_room,260,1,4,2,16
2_17,2,1,0,1,renovation_room,260,1,4,2,17
2_18,2,2,0,0,renovation_room,260,1,4,2,18
2_19,2,2,0,0,renovation_room,260,1,4,2,19
3_0,2,2,0,0,restaurant,260,0,4,3,0
3_1,1,2,1,0,restaurant,260,0,4,3,1
3_2,1,2,1,0,restaurant,260,0,4,3,2
3_3,2,2,0,0,restaurant,260,0,4,3,3
3_5,2,1,0,1,restaurant,260,0,4,3,5
3_6,1,2,1,0,restaurant,260,0,4,3,6
3_7,2,2,0,0,restaurant,260,0,4,3,7
3_8,1,2,1,0,restaurant,260,0,4,3,8
3_9,2,2,0,0,restaurant,260,0,4,3,9
3_10,2,2,0,0,restaurant,260,1,4,3,10
3_11,2,2,0,0,restaurant,260,1,4,3,11
