,yes-sentiment,yes-aspect,no-sentiment,no-aspect,category,hotel_id,cpt,Total,fileId,iId
3_12,2,1,0,1,restaurant,260,1,4,3,12
3_13,1,0,1,2,restaurant,260,1,4,3,13
3_14,2,2,0,0,restaurant,260,1,4,3,14
3_15,1,2,1,0,restaurant,260,1,4,3,15
3_16,2,2,0,0,restaurant,260,1,4,3,16
3_17,2,2,0,0,restaurant,260,1,4,3,17
3_18,2,2,0,0,restaurant,260,1,4,3,18
3_19,1,0,1,2,restaurant,260,1,4,3,19
3_20,2,1,0,1,restaurant,260,2,4,3,20
3_21,2,0,0,2,restaurant,260,2,4,3,21
3_22,2,1,0,1,restaurant,260,2,4,3,22
3_23,2,0,0,2,restaurant,260,2,4,3,23
3_24,2,2,0,0,restaurant,260,2,4,3,24
3_25,2,2,0,0,restaurant,260,2,4,3,25
3_26,2,1,0,1,restaurant,260,2,4,3,26
3_27,2,2,0,0,restaurant,260,2,4,3,27
3_28,2,2,0,0,restaurant,260,2,4,3,28
3_29,2,2,0,0,restaurant,260,2,4,3,29
3_30,2,2,0,0,restaurant,260,3,4,3,30
3_32,2,2,0,0,restaurant,260,3,4,3,32
3_33,1,2,1,0,restaurant,260,3,4,3,33
3_34,2,2,0,0,restaurant,260,3,4,3,34
3_35,2,2,0,0,restaurant,260,3,4,3,35
3_36,1,2,1,0,restaurant,260,3,4,3,36
3_37,1,2,1,0,restaurant,260,3,4,3,37
3_38,2,2,0,0,restaurant,260,3,4,3,38
3_39,2,2,0,0,restaurant,260,3,4,3,39
3_40,2,2,0,0,restaurant,260,4,4,3,40
3_41,1,2,1,0,restaurant,260,4,4,3,41
3_42,2,2,0,0,restaurant,260,4,4,3,42
3_43,2,2,0,0,restaurant,260,4,4,3,43
3_44,0,1,2,1,restaurant,260,5,4,3,44
3_45,1,0,1,2,restaurant,260,5,4,3,45
3_46,1,0,1,2,restaurant,260,5,4,3,46
3_47,1,0,1,2,restaurant,260,5,4,3,47
3_48,1,0,1,2,restaurant,260,5,4,3,48
3_49,0,1,2,1,restaurant,260,5,4,3,49
3_50,1,0,1,2,restaurant,260,5,4,3,50
3_51,1,1,1,1,restaurant,260,5,4,3,51
3_52,0,1,2,1,restaurant,260,5,4,3,52
3_53,1,0,1,2,restaurant,260,5,4,3,53
4_0,2,1,0,1,room,260,0,4,4,0
4_1,2,2,0,0,room,260,0,4,4,1
4_2,0,1,2,1,room,260,0,4,4,2
4_3,1,2,1,0,room,260,0,4,4,3
4_4,0,1,2,1,room,260,0,4,4,4
4_6,2,2,0,0,room,260,0,4,4,6
4_7,2,1,0,1,room,260,0,4,4,7
4_8,0,2,2,0,room,260,0,4,4,8
4_9,2,2,0,0,room,260,0,4,4,9
4_10,2,2,0,0,room,260,1,4,4,10
4_11,2,2,0,0,room,260,1,4,4,11
4_12,2,2,0,0,room,260,1,4,4,12
4_13,2,0,0,2,room,260,1,4,4,13
4_15,2,2,0,0,room,260,1,4,4,15
4_16,2,1,0,1,room,260,1,4,4,16
4_17,2,1,0,1,room,260,1,4,4,17
4_18,0,2,2,0,room,260,1,4,4,18
4_19,2,2,0,0,room,260,1,4,4,19
4_20,1,0,1,2,room,260,2,4,4,20
4_21,1,0,1,2,room,260,2,4,4,21
4_22,1,0,1,2,room,260,2,4,4,22
4_23,2,2,0,0,room,260,2,4,4,23
4_24,2,2,0,0,room,260,2,4,4,24
4_25,1,2,1,0,room,260,2,4,4,25
4_26,1,1,1,1,room,260,3,4,4,26
4_27,1,0,1,2,room,260,3,4,4,27
4_28,2,2,0,0,room,260,3,4,4,28
4_29,2,0,0,2,room,260,3,4,4,29
4_30,2,2,0,0,room,260,3,4,4,30
4_31,1,2,1,0,room,260,3,4,4,31
4_32,2,1,0,1,room,260,3,4,4,32
4_33,0,2,2,0,room,260,3,4,4,33
4_35,0,2,2,0,room,260,3,4,4,35
5_0,2,2,0,0,facility,110,0,4,5,0
5_1,2,2,0,0,facility,110,0,4,5,1
5_2,1,1,1,1,facility,110,0,4,5,2
5_3,1,1,1,1,facility,110,0,4,5,3
5_4,1,1,1,1,facility,110,0,4,5,4
5_5,0,2,2,0,facility,110,0,4,5,5
5_6,2,2,0,0,facility,110,0,4,5,6
5_7,2,1,0,1,facility,110,0,4,5,7
5_8,2,1,0,1,facility,110,0,4,5,8
5_9,2,2,0,0,facility,110,0,4,5,9
5_10,2,2,0,0,facility,110,1,4,5,10
5_11,2,1,0,1,facility,110,1,4,5,11
5_12,1,0,1,2,facility,110,1,4,5,12
5_13,2,2,0,0,facility,110,1,4,5,13
5_14,2,1,0,1,facility,110,1,4,5,14
5_15,2,2,0,0,facility,110,1,4,5,15
5_16,2,2,0,0,facility,110,1,4,5,16
5_17,2,2,0,0,facility,110,1,4,5,17
5_18,2,2,0,0,facility,110,1,4,5,18
5_19,2,0,0,2,facility,110,1,4,5,19
6_0,2,1,0,1,reception,110,0,4,6,0
6_1,2,2,0,0,reception,110,0,4,6,1
6_2,2,1,0,1,reception,110,0,4,6,2
6_3,2,1,0,1,reception,110,0,4,6,3
6_4,2,1,0,1,reception,110,0,4,6,4
6_5,1,0,1,2,reception,110,0,4,6,5
6_6,1,0,1,2,reception,110,0,4,6,6
6_7,2,1,0,1,reception,110,0,4,6,7
6_8,2,1,0,1,reception,110,0,4,6,8
6_9,2,1,0,1,reception,110,0,4,6,9
6_10,1,2,1,0,reception,110,1,4,6,10
6_11,2,1,0,1,reception,110,1,4,6,11
6_13,1,1,1,1,reception,110,1,4,6,13
6_14,1,1,1,1,reception,110,1,4,6,14
6_15,2,1,0,1,reception,110,1,4,6,15
6_16,1,2,1,0,reception,110,1,4,6,16
6_17,1,2,1,0,reception,110,1,4,6,17
6_18,2,2,0,0,reception,110,1,4,6,18
6_19,1,2,1,0,reception,110,1,4,6,19
6_20,2,2,0,0,reception,110,2,4,6,20
6_21,2,2,0,0,reception,110,2,4,6,21
6_22,2,2,0,0,reception,110,2,4,6,22
6_23,1,1,1,1,reception,110,2,4,6,23
6_24,2,2,0,0,reception,110,2,4,6,24
6_25,1,0,1,2,reception,110,2,4,6,25
6_26,2,2,0,0,reception,110,2,4,6,26
6_27,0,2,2,0,reception,110,2,4,6,27
6_28,0,2,2,0,reception,110,2,4,6,28
6_29,0,2,2,0,reception,110,2,4,6,29
7_0,0,1,2,1,pool,110,0,4,7,0
7_1,0,1,2,1,pool,110,0,4,7,1
7_2,0,1,2,1,pool,110,0,4,7,2
7_3,1,1,1,1,pool,110,0,4,7,3
7_4,0,2,2,0,pool,110,0,4,7,4
7_5,2,2,0,0,pool,110,0,4,7,5
7_6,2,2,0,0,pool,110,0,4,7,6
7_7,1,2,1,0,pool,110,0,4,7,7
7_8,2,2,0,0,pool,110,0,4,7,8
7_9,2,2,0,0,pool,110,0,4,7,9
7_10,2,2,0,0,pool,110,1,4,7,10
7_11,2,2,0,0,pool,110,1,4,7,11
7_12,2,2,0,0,pool,110,1,4,7,12
7_13,2,2,0,0,pool,110,1,4,7,13
7_14,2,2,0,0,pool,110,1,4,7,14
7_15,2,2,0,0,pool,110,1,4,7,15
7_16,2,2,0,0,pool,110,1,4,7,16
7_17,1,0,1,2,pool,110,1,4,7,17
7_18,2,2,0,0,pool,110,1,4,7,18
7_19,2,2,0,0,pool,110,1,4,7,19
8_0,1,2,1,0,restaurant,110,0,4,8,0
8_1,1,2,1,0,restaurant,110,0,4,8,1
8_2,1,2,1,0,restaurant,110,0,4,8,2
8_3,1,2,1,0,restaurant,110,0,4,8,3
8_4,1,2,1,0,restaurant,110,0,4,8,4
8_5,2,1,0,1,restaurant,110,0,4,8,5
8_6,2,0,0,2,restaurant,110,0,4,8,6
8_7,1,2,1,0,restaurant,110,0,4,8,7
8_8,1,2,1,0,restaurant,110,0,4,8,8
8_9,2,2,0,0,restaurant,110,0,4,8,9
8_10,2,2,0,0,restaurant,110,1,4,8,10
8_11,2,2,0,0,restaurant,110,1,4,8,11
8_12,2,2,0,0,restaurant,110,1,4,8,12
8_13,2,2,0,0,restaurant,110,1,4,8,13
8_14,1,0,1,2,restaurant,110,1,4,8,14
8_15,2,2,0,0,restaurant,110,1,4,8,15
8_16,1,2,1,0,restaurant,110,1,4,8,16
8_17,2,1,0,1,restaurant,110,1,4,8,17
8_18,1,0,1,2,restaurant,110,2,4,8,18
8_19,2,2,0,0,restaurant,110,2,4,8,19
8_20,0,1,2,1,restaurant,110,2,4,8,20
8_21,0,2,2,0,restaurant,110,2,4,8,21
8_22,2,2,0,0,restaurant,110,2,4,8,22
8_23,2,2,0,0,restaurant,110,2,4,8,23
8_24,2,2,0,0,restaurant,110,2,4,8,24
8_25,0,2,2,0,restaurant,110,2,4,8,25
8_26,2,2,0,0,restaurant,110,2,4,8,26
8_27,1,2,1,0,restaurant,110,2,4,8,27
8_28,2,2,0,0,restaurant,110,3,4,8,28
8_29,2,2,0,0,restaurant,110,3,4,8,29
8_30,2,2,0,0,restaurant,110,3,4,8,30
8_31,2,2,0,0,restaurant,110,3,4,8,31
8_32,2,2,0,0,restaurant,110,3,4,8,32
8_33,2,2,0,0,restaurant,110,3,4,8,33
8_34,2,1,0,1,restaurant,110,3,4,8,34
8_35,2,2,0,0,restaurant,110,3,4,8,35
8_36,2,2,0,0,restaurant,110,3,4,8,36
8_37,2,2,0,0,restaurant,110,3,4,8,37
9_0,1,2,1,0,room,110,0,4,9,0
9_1,2,2,0,0,room,110,0,4,9,1
9_2,1,2,1,0,room,110,0,4,9,2
9_3,1,1,1,1,room,110,0,4,9,3
9_4,0,1,2,1,room,110,0,4,9,4
9_5,1,2,1,0,room,110,0,4,9,5
9_6,2,2,0,0,room,110,0,4,9,6
9_7,2,2,0,0,room,110,0,4,9,7
9_8,1,0,1,2,room,110,0,4,9,8
9_9,1,2,1,0,room,110,0,4,9,9
9_10,2,2,0,0,room,110,1,4,9,10
9_11,2,2,0,0,room,110,1,4,9,11
9_12,2,2,0,0,room,110,1,4,9,12
9_13,1,1,1,1,room,110,1,4,9,13
9_14,2,2,0,0,room,110,1,4,9,14
9_15,2,2,0,0,room,110,1,4,9,15
9_16,2,2,0,0,room,110,1,4,9,16
9_17,2,2,0,0,room,110,1,4,9,17
9_18,2,0,0,2,room,110,1,4,9,18
9_19,2,2,0,0,room,110,1,4,9,19
10_0,2,1,0,1,reception,327,0,4,10,0
10_1,2,1,0,1,reception,327,0,4,10,1
10_2,2,1,0,1,reception,327,0,4,10,2
10_3,2,2,0,0,reception,327,0,4,10,3
10_4,2,2,0,0,reception,327,0,4,10,4
10_5,2,1,0,1,reception,327,0,4,10,5
10_6,2,2,0,0,reception,327,0,4,10,6
10_7,2,1,0,1,reception,327,0,4,10,7
10_8,2,2,0,0,reception,327,0,4,10,8
10_9,2,1,0,1,reception,327,0,4,10,9
10_10,2,2,0,0,reception,327,1,4,10,10
10_11,1,1,1,1,reception,327,1,4,10,11
10_12,1,0,1,2,reception,327,1,4,10,12
10_13,1,0,1,2,reception,327,1,4,10,13
10_14,0,2,2,0,reception,327,1,4,10,14
10_15,0,2,2,0,reception,327,1,4,10,15
10_16,0,2,2,0,reception,327,1,4,10,16
10_17,2,2,0,0,reception,327,1,4,10,17
10_18,2,1,0,1,reception,327,1,4,10,18
10_19,1,2,1,0,reception,327,1,4,10,19
11_0,2,2,0,0,pool,327,0,4,11,0
11_1,2,2,0,0,pool,327,0,4,11,1
11_2,2,2,0,0,pool,327,0,4,11,2
11_3,2,1,0,1,pool,327,0,4,11,3
11_4,2,1,0,1,pool,327,0,4,11,4
11_5,2,2,0,0,pool,327,0,4,11,5
11_6,2,2,0,0,pool,327,0,4,11,6
11_7,2,2,0,0,pool,327,0,4,11,7
11_8,2,2,0,0,pool,327,0,4,11,8
11_9,2,2,0,0,pool,327,0,4,11,9
11_10,1,1,1,1,pool,327,1,4,11,10
11_11,1,2,1,0,pool,327,1,4,11,11
11_12,0,1,2,1,pool,327,1,4,11,12
11_13,0,1,2,1,pool,327,1,4,11,13
11_14,2,2,0,0,pool,327,1,4,11,14
11_15,2,2,0,0,pool,327,1,4,11,15
11_16,2,2,0,0,pool,327,1,4,11,16
11_17,2,2,0,0,pool,327,1,4,11,17
11_18,2,2,0,0,pool,327,1,4,11,18
11_19,0,2,2,0,pool,327,1,4,11,19
12_0,1,1,1,1,renovation_room,327,0,4,12,0
12_1,2,2,0,0,renovation_room,327,0,4,12,1
12_2,2,1,0,1,renovation_room,327,0,4,12,2
12_3,2,2,0,0,renovation_room,327,0,4,12,3
12_4,1,1,1,1,renovation_room,327,0,4,12,4
12_5,2,2,0,0,renovation_room,327,0,4,12,5
12_6,2,2,0,0,renovation_room,327,0,4,12,6
12_7,2,2,0,0,renovation_room,327,0,4,12,7
12_8,1,2,1,0,renovation_room,327,0,4,12,8
12_9,2,2,0,0,renovation_room,327,0,4,12,9
13_0,2,2,0,0,restaurant,327,0,4,13,0
13_1,2,2,0,0,restaurant,327,0,4,13,1
13_2,2,2,0,0,restaurant,327,0,4,13,2
13_3,1,0,1,2,restaurant,327,0,4,13,3
13_4,2,2,0,0,restaurant,327,0,4,13,4
13_5,1,0,1,2,restaurant,327,0,4,13,5
13_6,1,1,1,1,restaurant,327,0,4,13,6
13_7,2,2,0,0,restaurant,327,0,4,13,7
13_8,2,2,0,0,restaurant,327,0,4,13,8
13_9,0,1,2,1,restaurant,327,0,4,13,9
13_10,1,2,1,0,restaurant,327,1,4,13,10
13_11,1,1,1,1,restaurant,327,1,4,13,11
13_12,2,2,0,0,restaurant,327,1,4,13,12
13_13,2,2,0,0,restaurant,327,1,4,13,13
13_14,2,2,0,0,restaurant,327,1,4,13,14
13_15,2,2,0,0,restaurant,327,1,4,13,15
13_16,2,2,0,0,restaurant,327,1,4,13,16
13_17,2,2,0,0,restaurant,327,1,4,13,17
13_18,2,2,0,0,restaurant,327,1,4,13,18
13_19,2,2,0,0,restaurant,327,1,4,13,19
14_0,2,2,0,0,room,327,0,4,14,0
14_1,1,1,1,1,room,327,0,4,14,1
14_2,2,2,0,0,room,327,0,4,14,2
14_3,2,2,0,0,room,327,0,4,14,3
14_4,2,2,0,0,room,327,0,4,14,4
14_5,2,2,0,0,room,327,0,4,14,5
14_6,2,2,0,0,room,327,0,4,14,6
14_7,2,2,0,0,room,327,0,4,14,7
14_8,2,2,0,0,room,327,0,4,14,8
14_9,2,2,0,0,room,327,0,4,14,9
14_10,1,2,1,0,room,327,1,4,14,10
14_11,1,0,1,2,room,327,1,4,14,11
14_12,1,2,1,0,room,327,1,4,14,12
14_13,2,2,0,0,room,327,1,4,14,13
14_14,2,2,0,0,room,327,1,4,14,14
14_15,1,1,1,1,room,327,1,4,14,15
14_16,2,2,0,0,room,327,1,4,14,16
14_17,1,2,1,0,room,327,1,4,14,17
14_18,1,0,1,2,room,327,1,4,14,18
14_19,1,2,1,0,room,327,1,4,14,19
14_20,2,2,0,0,room,327,2,4,14,20
14_21,2,2,0,0,room,327,2,4,14,21
14_22,2,2,0,0,room,327,2,4,14,22
14_23,2,2,0,0,room,327,2,4,14,23
14_24,2,2,0,0,room,327,2,4,14,24
15_0,1,2,1,0,facility,401,0,4,15,0
15_1,2,2,0,0,facility,401,0,4,15,1
15_2,0,2,2,0,facility,401,0,4,15,2
15_3,2,2,0,0,facility,401,0,4,15,3
15_4,2,1,0,1,facility,401,0,4,15,4
15_5,2,2,0,0,facility,401,0,4,15,5
15_6,2,1,0,1,facility,401,0,4,15,6
15_7,2,1,0,1,facility,401,0,4,15,7
15_8,2,1,0,1,facility,401,0,4,15,8
15_9,2,1,0,1,facility,401,0,4,15,9
15_10,2,1,0,1,facility,401,1,4,15,10
15_11,2,1,0,1,facility,401,1,4,15,11
15_12,2,1,0,1,facility,401,1,4,15,12
15_13,2,2,0,0,facility,401,1,4,15,13
15_14,2,2,0,0,facility,401,1,4,15,14
15_15,2,2,0,0,facility,401,1,4,15,15
15_16,2,2,0,0,facility,401,1,4,15,16
15_17,2,1,0,1,facility,401,1,4,15,17
15_18,2,2,0,0,facility,401,1,4,15,18
15_19,2,2,0,0,facility,401,1,4,15,19
16_0,0,1,2,1,reception,401,0,4,16,0
16_1,2,2,0,0,reception,401,0,4,16,1
16_2,2,2,0,0,reception,401,0,4,16,2
16_3,2,2,0,0,reception,401,0,4,16,3
16_4,2,2,0,0,reception,401,0,4,16,4
16_5,2,1,0,1,reception,401,0,4,16,5
16_6,2,2,0,0,reception,401,0,4,16,6
16_7,2,1,0,1,reception,401,0,4,16,7
16_8,2,2,0,0,reception,401,0,4,16,8
16_10,2,1,0,1,reception,401,1,4,16,10
16_11,2,1,0,1,reception,401,1,4,16,11
16_12,2,2,0,0,reception,401,1,4,16,12
16_13,2,1,0,1,reception,401,1,4,16,13
16_14,2,1,0,1,reception,401,1,4,16,14
16_15,2,2,0,0,reception,401,1,4,16,15
16_16,2,1,0,1,reception,401,1,4,16,16
16_17,2,1,0,1,reception,401,1,4,16,17
16_18,2,1,0,1,reception,401,1,4,16,18
16_19,2,1,0,1,reception,401,1,4,16,19
17_0,2,2,0,0,pool,401,0,4,17,0
17_1,2,2,0,0,pool,401,0,4,17,1
17_2,2,2,0,0,pool,401,0,4,17,2
17_3,1,0,1,2,pool,401,0,4,17,3
17_4,1,0,1,2,pool,401,0,4,17,4
17_5,1,0,1,2,pool,401,0,4,17,5
17_6,2,2,0,0,pool,401,0,4,17,6
17_7,2,2,0,0,pool,401,0,4,17,7
17_8,0,2,2,0,pool,401,0,4,17,8
17_9,0,2,2,0,pool,401,0,4,17,9
17_10,2,2,0,0,pool,401,1,4,17,10
17_11,1,0,1,2,pool,401,1,4,17,11
17_12,0,1,2,1,pool,401,1,4,17,12
17_13,1,0,1,2,pool,401,1,4,17,13
17_14,2,2,0,0,pool,401,1,4,17,14
17_15,2,2,0,0,pool,401,1,4,17,15
17_16,2,1,0,1,pool,401,1,4,17,16
17_17,2,2,0,0,pool,401,1,4,17,17
17_18,2,2,0,0,pool,401,1,4,17,18
17_19,2,2,0,0,pool,401,1,4,17,19
18_0,2,2,0,0,renovation_room,401,0,4,18,0
18_1,2,2,0,0,renovation_room,401,0,4,18,1
18_2,2,2,0,0,renovation_room,401,0,4,18,2
18_3,2,2,0,0,renovation_room,401,0,4,18,3
18_4,2,2,0,0,renovation_room,401,0,4,18,4
18_5,2,2,0,0,renovation_room,401,0,4,18,5
18_6,2,2,0,0,renovation_room,401,0,4,18,6
18_7,2,2,0,0,renovation_room,401,0,4,18,7
18_8,1,2,1,0,renovation_room,401,0,4,18,8
18_9,2,2,0,0,renovation_room,401,0,4,18,9
18_10,2,2,0,0,renovation_room,401,1,4,18,10
18_11,2,2,0,0,renovation_room,401,1,4,18,11
18_12,2,1,0,1,renovation_room,401,1,4,18,12
18_13,2,2,0,0,renovation_room,401,1,4,18,13
18_14,2,1,0,1,renovation_room,401,1,4,18,14
18_15,2,2,0,0,renovation_room,401,1,4,18,15
18_16,2,2,0,0,renovation_room,401,1,4,18,16
18_17,2,2,0,0,renovation_room,401,1,4,18,17
18_18,2,2,0,0,renovation_room,401,1,4,18,18
18_19,2,2,0,0,renovation_room,401,1,4,18,19
19_0,2,2,0,0,room,401,0,4,19,0
19_1,2,1,0,1,room,401,0,4,19,1
19_2,0,2,2,0,room,401,0,4,19,2
19_3,2,2,0,0,room,401,0,4,19,3
19_4,2,2,0,0,room,401,0,4,19,4
19_5,2,2,0,0,room,401,0,4,19,5
19_6,2,2,0,0,room,401,0,4,19,6
19_7,0,2,2,0,room,401,0,4,19,7
19_8,2,2,0,0,room,401,0,4,19,8
19_9,2,2,0,0,room,401,0,4,19,9
19_10,2,2,0,0,room,401,1,4,19,10
19_11,2,1,0,1,room,401,1,4,19,11
19_12,2,2,0,0,room,401,1,4,19,12
19_13,2,2,0,0,room,401,1,4,19,13
19_14,2,2,0,0,room,401,1,4,19,14
19_15,2,2,0,0,room,401,1,4,19,15
19_16,2,1,0,1,room,401,1,4,19,16
19_17,2,2,0,0,room,401,1,4,19,17
19_18,2,2,0,0,room,401,1,4,19,18
19_19,2,2,0,0,room,401,1,4,19,19
20_0,2,1,0,1,reception,319,0,4,20,0
20_1,2,2,0,0,reception,319,0,4,20,1
20_2,2,1,0,1,reception,319,0,4,20,2
20_3,1,0,1,2,reception,319,0,4,20,3
20_4,1,0,1,2,reception,319,0,4,20,4
20_5,2,1,0,1,reception,319,0,4,20,5
20_6,1,0,1,2,reception,319,0,4,20,6
20_7,1,1,1,1,reception,319,0,4,20,7
20_8,2,1,0,1,reception,319,0,4,20,8
20_9,1,1,1,1,reception,319,0,4,20,9
20_10,2,2,0,0,reception,319,1,4,20,10
20_12,2,1,0,1,reception,319,1,4,20,12
20_13,1,2,1,0,reception,319,1,4,20,13
20_14,2,1,0,1,reception,319,1,4,20,14
20_15,2,1,0,1,reception,319,1,4,20,15
20_16,2,2,0,0,reception,319,1,4,20,16
20_17,2,2,0,0,reception,319,1,4,20,17
20_18,2,2,0,0,reception,319,1,4,20,18
20_19,0,2,2,0,reception,319,1,4,20,19
20_20,1,0,1,2,reception,319,2,4,20,20
20_21,2,2,0,0,reception,319,2,4,20,21
20_22,2,1,0,1,reception,319,2,4,20,22
20_23,2,1,0,1,reception,319,2,4,20,23
20_24,2,1,0,1,reception,319,2,4,20,24
20_25,1,0,1,2,reception,319,2,4,20,25
20_26,2,1,0,1,reception,319,2,4,20,26
20_27,1,1,1,1,reception,319,2,4,20,27
20_28,2,1,0,1,reception,319,2,4,20,28
20_29,1,0,1,2,reception,319,2,4,20,29
21_0,1,1,1,1,pool,319,0,4,21,0
21_1,1,1,1,1,pool,319,0,4,21,1
21_2,1,0,1,2,pool,319,0,4,21,2
21_3,1,1,1,1,pool,319,0,4,21,3
21_4,1,1,1,1,pool,319,0,4,21,4
21_5,1,1,1,1,pool,319,0,4,21,5
21_6,1,1,1,1,pool,319,0,4,21,6
21_7,1,1,1,1,pool,319,0,4,21,7
21_8,1,0,1,2,pool,319,0,4,21,8
21_9,1,1,1,1,pool,319,0,4,21,9
21_10,1,0,1,2,pool,319,1,4,21,10
21_11,1,0,1,2,pool,319,1,4,21,11
21_12,1,0,1,2,pool,319,1,4,21,12
21_13,1,0,1,2,pool,319,1,4,21,13
21_14,1,0,1,2,pool,319,1,4,21,14
21_15,1,0,1,2,pool,319,1,4,21,15
21_16,1,0,1,2,pool,319,1,4,21,16
21_17,1,0,1,2,pool,319,1,4,21,17
21_18,1,0,1,2,pool,319,1,4,21,18
21_19,1,0,1,2,pool,319,1,4,21,19
22_0,2,2,0,0,renovation_room,319,0,4,22,0
22_1,2,2,0,0,renovation_room,319,0,4,22,1
22_2,1,0,1,2,renovation_room,319,0,4,22,2
22_3,2,2,0,0,renovation_room,319,0,4,22,3
22_4,2,2,0,0,renovation_room,319,0,4,22,4
22_5,2,2,0,0,renovation_room,319,0,4,22,5
22_6,2,2,0,0,renovation_room,319,0,4,22,6
22_7,1,1,1,1,renovation_room,319,0,4,22,7
22_8,2,2,0,0,renovation_room,319,0,4,22,8
22_9,2,2,0,0,renovation_room,319,0,4,22,9
22_10,2,2,0,0,renovation_room,319,1,4,22,10
22_11,2,2,0,0,renovation_room,319,1,4,22,11
22_12,2,1,0,1,renovation_room,319,1,4,22,12
22_13,1,1,1,1,renovation_room,319,1,4,22,13
22_14,2,2,0,0,renovation_room,319,1,4,22,14
22_15,2,2,0,0,renovation_room,319,1,4,22,15
22_16,2,2,0,0,renovation_room,319,1,4,22,16
22_17,2,2,0,0,renovation_room,319,1,4,22,17
22_18,2,2,0,0,renovation_room,319,1,4,22,18
22_19,2,1,0,1,renovation_room,319,1,4,22,19
23_0,1,0,1,2,restaurant,319,0,4,23,0
23_1,2,2,0,0,restaurant,319,0,4,23,1
23_2,1,1,1,1,restaurant,319,0,4,23,2
23_3,1,0,1,2,restaurant,319,0,4,23,3
23_4,0,2,2,0,restaurant,319,0,4,23,4
23_5,2,2,0,0,restaurant,319,0,4,23,5
23_6,2,2,0,0,restaurant,319,0,4,23,6
23_7,2,2,0,0,restaurant,319,0,4,23,7
23_8,1,0,1,2,restaurant,319,0,4,23,8
23_9,0,1,2,1,restaurant,319,0,4,23,9
23_10,2,2,0,0,restaurant,319,1,4,23,10
23_11,0,2,2,0,restaurant,319,1,4,23,11
23_12,1,0,1,2,restaurant,319,1,4,23,12
